ticket_id,channel,resolution_minutes
TKT-1567,email,224.2
TKT-0518,phone,113.2
TKT-0942,chat,39.9
TKT-1436,email,101.0
TKT-0375,phone,99.0
TKT-0357,phone,95.1
TKT-0422,phone,81.8
TKT-0096,phone,77.4
TKT-0365,phone,78.3
TKT-0111,phone,120.7
TKT-0345,phone,63.5
TKT-0633,chat,58.7
TKT-0184,phone,88.1
TKT-0070,phone,83.9
TKT-1157,chat,155.2
TKT-1274,email,49.0
TKT-0198,phone,93.7
TKT-0072,phone,67.2
TKT-1765,email,294.7
TKT-0464,phone,117.4
TKT-1753,email,39.2
TKT-0028,phone,85.7
TKT-1406,email,161.6
TKT-0059,phone,74.6
TKT-0834,chat,68.0
TKT-1084,chat,82.4
TKT-0485,phone,85.7
TKT-1386,email,281.2
TKT-0775,chat,55.5
TKT-0099,phone,93.1
TKT-1487,email,69.6
TKT-0067,phone,85.0
TKT-0634,chat,91.3
TKT-0019,phone,87.0
TKT-1500,email,42.2
TKT-0585,phone,99.6
TKT-1050,chat,93.4
TKT-0525,phone,118.0
TKT-1512,email,94.7
TKT-0210,phone,115.5
TKT-0058,phone,97.1
TKT-0728,chat,82.2
TKT-0299,phone,82.6
TKT-0379,phone,90.5
TKT-0918,chat,68.0
TKT-1077,chat,40.6
TKT-1384,email,80.9
TKT-0223,phone,117.3
TKT-1257,email,113.2
TKT-1718,email,50.1
TKT-0530,phone,88.0
TKT-0917,chat,130.9
TKT-1130,chat,57.9
TKT-1754,email,66.0
TKT-1643,email,76.8
TKT-1184,chat,104.6
TKT-0545,phone,86.9
TKT-0570,phone,85.3
TKT-1255,email,186.9
TKT-0760,chat,120.0
TKT-1590,email,169.8
TKT-1696,email,30.0
TKT-0272,phone,78.6
TKT-0958,chat,101.7
TKT-1746,email,31.5
TKT-1408,email,130.3
TKT-1326,email,204.6
TKT-0698,chat,104.1
TKT-1703,email,193.7
TKT-1006,chat,78.2
TKT-1002,chat,94.6
TKT-1532,email,90.9
TKT-1262,email,131.3
TKT-1354,email,54.1
TKT-1113,chat,55.2
TKT-1027,chat,103.7
TKT-0794,chat,91.7
TKT-0039,phone,103.8
TKT-0147,phone,66.9
TKT-1666,email,287.3
TKT-0748,chat,111.9
TKT-0828,chat,111.1
TKT-0344,phone,111.5
TKT-0227,phone,73.0
TKT-0150,phone,101.6
TKT-0453,phone,107.6
TKT-0882,chat,165.9
TKT-1315,email,61.2
TKT-0656,chat,73.8
TKT-0992,chat,106.3
TKT-1042,chat,97.8
TKT-0029,phone,74.2
TKT-1787,email,66.2
TKT-0060,phone,79.2
TKT-1290,email,107.9
TKT-0598,phone,86.9
TKT-0507,phone,124.2
TKT-1302,email,55.8
TKT-1240,email,118.4
TKT-0739,chat,136.1
TKT-0490,phone,88.2
TKT-0020,phone,104.9
TKT-0177,phone,82.3
TKT-0066,phone,121.3
TKT-1389,email,80.2
TKT-1613,email,116.9
TKT-1283,email,52.3
TKT-1236,email,50.0
TKT-0532,phone,74.0
TKT-0041,phone,85.3
TKT-0474,phone,146.1
TKT-1062,chat,92.2
TKT-0521,phone,72.7
TKT-0246,phone,72.7
TKT-0044,phone,71.3
TKT-0969,chat,46.2
TKT-1261,email,32.3
TKT-0394,phone,98.2
TKT-0112,phone,86.6
TKT-0980,chat,69.1
TKT-0704,chat,101.6
TKT-0806,chat,52.7
TKT-1455,email,182.8
TKT-1448,email,73.3
TKT-0912,chat,82.4
TKT-1497,email,84.3
TKT-1106,chat,71.1
TKT-0788,chat,96.0
TKT-0322,phone,100.6
TKT-0814,chat,35.3
TKT-1059,chat,60.4
TKT-1756,email,363.9
TKT-0822,chat,47.9
TKT-0758,chat,99.7
TKT-0075,phone,111.0
TKT-0052,phone,78.7
TKT-1374,email,116.1
TKT-0722,chat,102.2
TKT-1570,email,37.3
TKT-0396,phone,98.2
TKT-1076,chat,62.0
TKT-1297,email,40.5
TKT-1087,chat,101.0
TKT-1120,chat,105.1
TKT-1204,email,33.3
TKT-0489,phone,87.5
TKT-1134,chat,104.5
TKT-1097,chat,67.0
TKT-0677,chat,111.3
TKT-1335,email,98.7
TKT-1724,email,53.7
TKT-1730,email,205.2
TKT-0404,phone,116.1
TKT-0324,phone,76.2
TKT-1452,email,101.5
TKT-1144,chat,80.0
TKT-1299,email,93.2
TKT-0596,phone,108.1
TKT-1689,email,74.9
TKT-1121,chat,126.9
TKT-1145,chat,62.9
TKT-0584,phone,98.4
TKT-0333,phone,39.3
TKT-0116,phone,99.5
TKT-1699,email,36.7
TKT-1606,email,91.7
TKT-1742,email,38.0
TKT-0160,phone,72.3
TKT-1653,email,29.7
TKT-0135,phone,68.5
TKT-1392,email,193.2
TKT-1228,email,77.9
TKT-0731,chat,42.6
TKT-0688,chat,64.3
TKT-1365,email,109.5
TKT-0289,phone,36.6
TKT-1648,email,113.9
TKT-0280,phone,86.2
TKT-1013,chat,89.4
TKT-1036,chat,69.0
TKT-1446,email,199.6
TKT-1687,email,26.2
TKT-0727,chat,141.6
TKT-0377,phone,76.2
TKT-1656,email,41.9
TKT-1400,email,83.0
TKT-0733,chat,84.0
TKT-1150,chat,89.4
TKT-1709,email,123.5
TKT-1058,chat,59.1
TKT-0421,phone,79.7
TKT-1596,email,87.5
TKT-0619,chat,100.1
TKT-0982,chat,101.6
TKT-1287,email,45.5
TKT-1394,email,58.7
TKT-1316,email,48.4
TKT-0859,chat,50.6
TKT-0650,chat,126.0
TKT-1170,chat,95.4
TKT-1712,email,135.3
TKT-0501,phone,78.5
TKT-0293,phone,89.7
TKT-0473,phone,65.6
TKT-1047,chat,50.4
TKT-0693,chat,60.0
TKT-1079,chat,150.3
TKT-0850,chat,83.3
TKT-0981,chat,115.3
TKT-0975,chat,320.1
TKT-0811,chat,68.3
TKT-0128,phone,90.7
TKT-0778,chat,57.1
TKT-0420,phone,101.4
TKT-1488,email,68.2
TKT-1659,email,60.0
TKT-1357,email,68.2
TKT-0994,chat,96.2
TKT-1073,chat,96.9
TKT-0592,phone,75.6
TKT-0910,chat,137.5
TKT-0962,chat,63.6
TKT-0612,chat,106.2
TKT-1082,chat,67.2
TKT-1429,email,63.2
TKT-0736,chat,32.8
TKT-0392,phone,93.1
TKT-0235,phone,147.6
TKT-0166,phone,89.3
TKT-0403,phone,100.8
TKT-1341,email,38.3
TKT-0045,phone,75.8
TKT-0469,phone,74.5
TKT-0209,phone,84.3
TKT-0560,phone,105.4
TKT-0500,phone,114.4
TKT-0283,phone,92.7
TKT-0579,phone,100.2
TKT-0876,chat,61.8
TKT-0801,chat,78.8
TKT-0714,chat,84.5
TKT-0074,phone,92.7
TKT-1088,chat,62.2
TKT-1680,email,53.4
TKT-0234,phone,86.0
TKT-0265,phone,67.2
TKT-0092,phone,90.6
TKT-1337,email,35.0
TKT-0764,chat,47.0
TKT-1638,email,72.7
TKT-0398,phone,77.0
TKT-1260,email,40.9
TKT-0738,chat,67.8
TKT-1427,email,50.4
TKT-0990,chat,50.7
TKT-0754,chat,106.2
TKT-1037,chat,85.9
TKT-0902,chat,82.2
TKT-1109,chat,79.0
TKT-0529,phone,80.8
TKT-0852,chat,101.9
TKT-1668,email,25.8
TKT-0338,phone,96.2
TKT-1022,chat,157.6
TKT-0855,chat,60.3
TKT-0486,phone,113.3
TKT-0470,phone,58.2
TKT-0879,chat,116.8
TKT-1286,email,33.5
TKT-0054,phone,98.2
TKT-0997,chat,76.5
TKT-1509,email,127.1
TKT-0196,phone,65.0
TKT-0870,chat,148.8
TKT-1646,email,212.5
TKT-1364,email,29.1
TKT-0352,phone,72.8
TKT-0971,chat,107.4
TKT-1483,email,34.4
TKT-1716,email,222.3
TKT-0290,phone,80.4
TKT-0913,chat,38.0
TKT-1475,email,43.9
TKT-0281,phone,67.5
TKT-0872,chat,85.8
TKT-0267,phone,65.8
TKT-0263,phone,75.5
TKT-0769,chat,57.2
TKT-0454,phone,63.0
TKT-1464,email,121.5
TKT-0871,chat,72.9
TKT-1573,email,281.3
TKT-1245,email,250.8
TKT-0282,phone,99.8
TKT-0845,chat,84.7
TKT-1269,email,274.2
TKT-0040,phone,110.1
TKT-0496,phone,112.8
TKT-1359,email,177.9
TKT-1254,email,70.1
TKT-1114,chat,90.9
TKT-0608,chat,101.8
TKT-0896,chat,45.5
TKT-1410,email,75.3
TKT-0952,chat,115.7
TKT-1396,email,56.7
TKT-1508,email,110.3
TKT-1344,email,64.5
TKT-1017,chat,159.0
TKT-1158,chat,47.8
TKT-1362,email,50.0
TKT-0869,chat,39.6
TKT-0317,phone,63.0
TKT-1767,email,53.5
TKT-1545,email,32.8
TKT-0024,phone,103.6
TKT-0875,chat,96.4
TKT-1407,email,47.3
TKT-0185,phone,82.1
TKT-0292,phone,93.8
TKT-0534,phone,66.4
TKT-0356,phone,97.0
TKT-0461,phone,88.9
TKT-0889,chat,92.6
TKT-0703,chat,73.3
TKT-0144,phone,106.6
TKT-0445,phone,98.6
TKT-0340,phone,93.5
TKT-0550,phone,77.3
TKT-0664,chat,125.4
TKT-0086,phone,120.8
TKT-1091,chat,66.4
TKT-1649,email,184.8
TKT-1585,email,32.8
TKT-1535,email,58.3
TKT-0799,chat,85.5
TKT-1759,email,64.6
TKT-1432,email,242.7
TKT-0663,chat,191.9
TKT-0056,phone,105.3
TKT-1725,email,45.7
TKT-0287,phone,92.7
TKT-1328,email,84.3
TKT-1740,email,27.4
TKT-0030,phone,54.9
TKT-0131,phone,62.2
TKT-1664,email,66.8
TKT-0105,phone,87.0
TKT-1252,email,44.2
TKT-1538,email,48.6
TKT-0922,chat,106.6
TKT-0807,chat,89.0
TKT-0943,chat,183.5
TKT-1329,email,65.4
TKT-0380,phone,9.1
TKT-0240,phone,71.0
TKT-1762,email,222.1
TKT-1744,email,28.3
TKT-0002,phone,78.9
TKT-0350,phone,76.9
TKT-1167,chat,88.8
TKT-1128,chat,68.0
TKT-0173,phone,86.6
TKT-0831,chat,82.2
TKT-0641,chat,97.2
TKT-1764,email,56.3
TKT-0848,chat,92.3
TKT-0487,phone,89.7
TKT-1159,chat,60.3
TKT-0149,phone,131.4
TKT-1618,email,42.5
TKT-0951,chat,77.5
TKT-0620,chat,33.4
TKT-1800,email,147.2
TKT-1515,email,62.1
TKT-0400,phone,75.9
TKT-0813,chat,77.9
TKT-1704,email,122.2
TKT-0745,chat,59.6
TKT-0259,phone,97.9
TKT-0744,chat,151.0
TKT-1293,email,134.7
TKT-1099,chat,58.4
TKT-0499,phone,63.9
TKT-0001,phone,97.1
TKT-0991,chat,136.5
TKT-0373,phone,83.0
TKT-1381,email,211.9
TKT-0215,phone,69.9
TKT-1794,email,35.6
TKT-0418,phone,85.1
TKT-1103,chat,114.5
TKT-0083,phone,83.9
TKT-0571,phone,99.0
TKT-1275,email,44.0
TKT-0575,phone,101.4
TKT-1074,chat,58.9
TKT-0084,phone,86.7
TKT-1086,chat,84.5
TKT-1030,chat,48.7
TKT-1747,email,32.7
TKT-1517,email,53.5
TKT-0810,chat,33.7
TKT-0491,phone,87.3
TKT-1655,email,124.7
TKT-0343,phone,92.4
TKT-0032,phone,108.9
TKT-1593,email,33.3
TKT-0104,phone,81.4
TKT-1498,email,45.5
TKT-0250,phone,86.9
TKT-0972,chat,74.8
TKT-0542,phone,91.8
TKT-0048,phone,97.0
TKT-0590,phone,118.2
TKT-1673,email,35.1
TKT-1690,email,180.1
TKT-0346,phone,112.2
TKT-1456,email,30.7
TKT-0767,chat,74.9
TKT-0410,phone,80.9
TKT-1560,email,44.6
TKT-0312,phone,93.4
TKT-1422,email,51.8
TKT-1330,email,99.5
TKT-0258,phone,56.7
TKT-0635,chat,38.3
TKT-1460,email,118.6
TKT-0893,chat,95.8
TKT-1674,email,234.2
TKT-1366,email,34.6
TKT-1100,chat,220.0
TKT-1471,email,25.7
TKT-1173,chat,84.5
TKT-1238,email,218.3
TKT-0520,phone,102.4
TKT-0800,chat,77.8
TKT-0645,chat,90.2
TKT-0482,phone,81.1
TKT-0877,chat,80.4
TKT-0176,phone,91.0
TKT-0180,phone,114.1
TKT-1584,email,241.8
TKT-1795,email,142.9
TKT-0718,chat,75.3
TKT-0043,phone,133.9
TKT-1760,email,62.7
TKT-1035,chat,97.5
TKT-0956,chat,47.2
TKT-1557,email,86.6
TKT-1420,email,175.6
TKT-0996,chat,49.4
TKT-1166,chat,37.3
TKT-0900,chat,45.3
TKT-0979,chat,76.4
TKT-1416,email,53.2
TKT-0405,phone,110.6
TKT-0221,phone,87.0
TKT-1682,email,140.3
TKT-0429,phone,102.8
TKT-0334,phone,83.6
TKT-1390,email,73.1
TKT-0214,phone,66.4
TKT-0031,phone,106.3
TKT-1610,email,48.7
TKT-0729,chat,56.4
TKT-1706,email,71.9
TKT-1685,email,225.3
TKT-0243,phone,142.8
TKT-1014,chat,28.5
TKT-0528,phone,67.9
TKT-1577,email,99.4
TKT-0947,chat,76.4
TKT-0833,chat,82.6
TKT-0298,phone,89.4
TKT-1235,email,191.1
TKT-0708,chat,64.9
TKT-1518,email,30.1
TKT-0636,chat,45.5
TKT-0976,chat,31.0
TKT-0417,phone,98.3
TKT-1368,email,39.3
TKT-1110,chat,88.5
TKT-0780,chat,113.3
TKT-0849,chat,85.5
TKT-1332,email,66.8
TKT-0568,phone,83.1
TKT-1717,email,36.3
TKT-0839,chat,43.5
TKT-0673,chat,94.4
TKT-0476,phone,66.2
TKT-0231,phone,59.8
TKT-0954,chat,65.2
TKT-1295,email,42.7
TKT-1279,email,103.8
TKT-0133,phone,68.2
TKT-0899,chat,81.5
TKT-0108,phone,71.6
TKT-0586,phone,66.1
TKT-0715,chat,111.4
TKT-0786,chat,108.2
TKT-1605,email,258.2
TKT-0884,chat,77.4
TKT-1098,chat,99.0
TKT-0459,phone,56.9
TKT-0680,chat,223.0
TKT-1458,email,89.6
TKT-1138,chat,117.7
TKT-1468,email,110.9
TKT-0481,phone,101.9
TKT-1210,email,48.8
TKT-0249,phone,84.7
TKT-1222,email,72.7
TKT-0122,phone,92.6
TKT-1506,email,42.4
TKT-1521,email,114.7
TKT-0264,phone,84.0
TKT-1608,email,39.7
TKT-1627,email,73.1
TKT-1576,email,39.9
TKT-1142,chat,170.8
TKT-0315,phone,59.6
TKT-0790,chat,47.4
TKT-0679,chat,31.8
TKT-0062,phone,114.3
TKT-0967,chat,84.7
TKT-0564,phone,50.8
TKT-0468,phone,81.2
TKT-0658,chat,64.7
TKT-1572,email,134.9
TKT-0361,phone,78.6
TKT-0911,chat,126.3
TKT-0526,phone,93.7
TKT-1284,email,114.8
TKT-1773,email,133.1
TKT-1282,email,39.9
TKT-1426,email,186.0
TKT-1195,chat,24.8
TKT-1575,email,54.2
TKT-0890,chat,88.5
TKT-1199,chat,235.9
TKT-1133,chat,41.0
TKT-1421,email,128.4
TKT-1191,chat,114.7
TKT-1168,chat,60.8
TKT-1352,email,25.4
TKT-1070,chat,85.7
TKT-0465,phone,107.2
TKT-0141,phone,88.6
TKT-0829,chat,81.2
TKT-1670,email,68.2
TKT-0364,phone,105.8
TKT-1697,email,189.6
TKT-1064,chat,100.8
TKT-1505,email,50.9
TKT-1071,chat,50.3
TKT-0613,chat,42.2
TKT-1710,email,42.9
TKT-0073,phone,102.8
TKT-1067,chat,67.2
TKT-1314,email,74.7
TKT-0080,phone,89.6
TKT-1360,email,143.9
TKT-1796,email,35.0
TKT-0182,phone,108.3
TKT-1662,email,220.7
TKT-1727,email,67.9
TKT-0843,chat,107.9
TKT-1707,email,92.5
TKT-0796,chat,84.3
TKT-1108,chat,106.0
TKT-0649,chat,64.1
TKT-0285,phone,81.9
TKT-0230,phone,99.4
TKT-0669,chat,61.3
TKT-1308,email,45.7
TKT-0938,chat,128.3
TKT-1418,email,120.9
TKT-0018,phone,96.7
TKT-1758,email,40.9
TKT-0785,chat,96.7
TKT-0851,chat,56.7
TKT-0857,chat,83.5
TKT-1580,email,30.3
TKT-1163,chat,109.4
TKT-1080,chat,93.2
TKT-1578,email,32.0
TKT-0625,chat,40.5
TKT-1581,email,58.4
TKT-0587,phone,133.9
TKT-1621,email,135.9
TKT-0017,phone,96.9
TKT-1424,email,118.1
TKT-1251,email,142.0
TKT-0777,chat,141.8
TKT-1563,email,158.5
TKT-0319,phone,80.7
TKT-1793,email,80.7
TKT-0543,phone,132.2
TKT-1156,chat,56.1
TKT-0933,chat,78.0
TKT-1221,email,49.6
TKT-1675,email,73.8
TKT-1463,email,35.2
TKT-0229,phone,56.5
TKT-0512,phone,74.6
TKT-0342,phone,64.7
TKT-1600,email,51.8
TKT-1485,email,132.4
TKT-1046,chat,103.0
TKT-1568,email,118.2
TKT-1414,email,153.7
TKT-1172,chat,48.4
TKT-0415,phone,96.8
TKT-1178,chat,100.2
TKT-0765,chat,69.1
TKT-0257,phone,76.7
TKT-1185,chat,87.3
TKT-0295,phone,88.0
TKT-0817,chat,71.0
TKT-1507,email,49.2
TKT-0359,phone,117.1
TKT-0725,chat,46.1
TKT-0824,chat,138.6
TKT-0199,phone,109.5
TKT-1102,chat,123.7
TKT-1350,email,49.3
TKT-1066,chat,47.4
TKT-0425,phone,84.2
TKT-1769,email,167.9
TKT-1376,email,103.5
TKT-0121,phone,69.1
TKT-0559,phone,99.4
TKT-0167,phone,50.1
TKT-0735,chat,98.1
TKT-1433,email,31.4
TKT-0013,phone,81.0
TKT-0712,chat,134.6
TKT-0068,phone,76.0
TKT-1192,chat,67.6
TKT-1147,chat,93.3
TKT-1663,email,28.7
TKT-1449,email,134.7
TKT-1782,email,68.6
TKT-1634,email,31.8
TKT-0751,chat,100.6
TKT-1743,email,122.3
TKT-1309,email,109.8
TKT-1714,email,58.9
TKT-0533,phone,107.3
TKT-0759,chat,113.8
TKT-0337,phone,92.1
TKT-0155,phone,135.7
TKT-0321,phone,97.3
TKT-1511,email,135.6
TKT-0200,phone,95.6
TKT-0305,phone,74.7
TKT-0395,phone,95.3
TKT-0523,phone,77.8
TKT-0381,phone,88.2
TKT-0370,phone,72.9
TKT-0858,chat,48.3
TKT-1146,chat,69.2
TKT-0378,phone,103.1
TKT-1469,email,33.3
TKT-1234,email,198.9
TKT-1175,chat,43.6
TKT-0684,chat,82.7
TKT-1215,email,418.0
TKT-1045,chat,56.0
TKT-0700,chat,54.7
TKT-1409,email,116.5
TKT-1467,email,45.7
TKT-1174,chat,99.1
TKT-0262,phone,102.2
TKT-1480,email,56.7
TKT-1798,email,27.4
TKT-0456,phone,72.1
TKT-0089,phone,90.5
TKT-1611,email,53.6
TKT-0554,phone,82.9
TKT-1397,email,128.8
TKT-0274,phone,85.3
TKT-0065,phone,103.2
TKT-0768,chat,27.0
TKT-1466,email,51.4
TKT-0611,chat,117.7
TKT-1391,email,26.3
TKT-0719,chat,94.4
TKT-1306,email,232.1
TKT-0140,phone,101.1
TKT-0762,chat,121.6
TKT-1334,email,58.3
TKT-1094,chat,129.6
TKT-1216,email,48.7
TKT-0932,chat,108.9
TKT-0191,phone,60.3
TKT-0721,chat,96.7
TKT-0408,phone,85.1
TKT-1423,email,98.1
TKT-0894,chat,56.0
TKT-1749,email,129.0
TKT-0480,phone,102.9
TKT-0681,chat,25.7
TKT-0120,phone,84.7
TKT-0127,phone,99.6
TKT-0335,phone,100.1
TKT-1041,chat,129.3
TKT-1781,email,324.7
TKT-0384,phone,119.7
TKT-1253,email,68.8
TKT-1525,email,112.4
TKT-0326,phone,68.8
TKT-0878,chat,66.5
TKT-1484,email,88.9
TKT-0270,phone,90.7
TKT-0137,phone,77.6
TKT-0402,phone,130.7
TKT-1434,email,68.6
TKT-1459,email,47.8
TKT-0701,chat,98.4
TKT-0163,phone,94.3
TKT-0593,phone,66.0
TKT-1693,email,27.7
TKT-0832,chat,76.6
TKT-0192,phone,87.7
TKT-1474,email,52.6
TKT-1681,email,60.1
TKT-0581,phone,120.8
TKT-0393,phone,94.0
TKT-1258,email,239.2
TKT-0795,chat,64.7
TKT-1748,email,116.0
TKT-0747,chat,132.1
TKT-0069,phone,69.0
TKT-1763,email,90.0
TKT-0552,phone,96.9
TKT-1620,email,208.2
TKT-0883,chat,160.5
TKT-0597,phone,113.6
TKT-1217,email,34.0
TKT-1792,email,27.9
TKT-0360,phone,90.3
TKT-1083,chat,114.9
TKT-0873,chat,112.8
TKT-0439,phone,75.0
TKT-1607,email,34.8
TKT-1327,email,76.7
TKT-0483,phone,105.2
TKT-0692,chat,37.5
TKT-1799,email,28.3
TKT-0959,chat,64.8
TKT-1009,chat,106.6
TKT-1300,email,167.0
TKT-0374,phone,91.3
TKT-0297,phone,89.3
TKT-0615,chat,286.0
TKT-0339,phone,74.7
TKT-0666,chat,130.7
TKT-1387,email,35.6
TKT-0511,phone,41.6
TKT-0369,phone,90.5
TKT-0106,phone,104.5
TKT-0640,chat,74.2
TKT-1425,email,90.6
TKT-0202,phone,97.5
TKT-0928,chat,129.0
TKT-0336,phone,104.0
TKT-1415,email,27.3
TKT-0968,chat,80.8
TKT-1752,email,64.7
TKT-1321,email,112.0
TKT-1481,email,154.2
TKT-0683,chat,132.4
TKT-0010,phone,119.7
TKT-1541,email,197.7
TKT-1586,email,82.0
TKT-1322,email,97.3
TKT-0488,phone,50.5
TKT-1057,chat,247.5
TKT-0313,phone,73.2
TKT-1617,email,86.2
TKT-0095,phone,76.4
TKT-0341,phone,114.2
TKT-1766,email,31.8
TKT-1004,chat,31.6
TKT-1356,email,140.8
TKT-1263,email,57.2
TKT-0741,chat,65.4
TKT-1001,chat,50.7
TKT-0671,chat,76.7
TKT-0484,phone,106.5
TKT-1226,email,43.0
TKT-0363,phone,80.5
TKT-1052,chat,60.0
TKT-0413,phone,91.0
TKT-1196,chat,56.9
TKT-1631,email,51.0
TKT-1378,email,46.9
TKT-0296,phone,88.3
TKT-1790,email,40.1
TKT-0522,phone,70.9
TKT-0332,phone,96.4
TKT-0815,chat,66.3
TKT-1599,email,127.9
TKT-0678,chat,64.2
TKT-0245,phone,101.7
TKT-0142,phone,95.6
TKT-1592,email,46.4
TKT-0448,phone,99.9
TKT-0609,chat,136.7
TKT-1776,email,118.1
TKT-0644,chat,140.3
TKT-1021,chat,144.4
TKT-0053,phone,113.9
TKT-0165,phone,76.0
TKT-0668,chat,25.0
TKT-0836,chat,77.6
TKT-1227,email,53.9
TKT-0642,chat,45.2
TKT-1151,chat,137.2
TKT-1677,email,45.7
TKT-0761,chat,160.7
TKT-1536,email,124.2
TKT-0963,chat,103.4
TKT-0773,chat,40.1
TKT-0251,phone,68.4
TKT-0269,phone,75.4
TKT-1186,chat,104.2
TKT-0117,phone,90.1
TKT-1310,email,143.7
TKT-1148,chat,78.1
TKT-0034,phone,92.7
TKT-0353,phone,76.8
TKT-1692,email,28.0
TKT-0705,chat,76.7
TKT-1211,email,44.2
TKT-1542,email,67.7
TKT-0955,chat,98.9
TKT-0888,chat,28.8
TKT-0945,chat,147.5
TKT-0012,phone,85.2
TKT-0618,chat,114.3
TKT-1698,email,104.9
TKT-0514,phone,94.0
TKT-0027,phone,87.6
TKT-0541,phone,117.9
TKT-0253,phone,134.1
TKT-1270,email,142.9
TKT-0383,phone,122.0
TKT-0110,phone,103.4
TKT-0446,phone,87.3
TKT-1305,email,40.7
TKT-0605,chat,65.2
TKT-0887,chat,55.4
TKT-1470,email,136.7
TKT-0424,phone,108.2
TKT-1044,chat,126.0
TKT-0175,phone,105.4
TKT-0965,chat,255.6
TKT-0927,chat,46.3
TKT-1011,chat,71.7
TKT-1443,email,127.2
TKT-0472,phone,98.5
TKT-1180,chat,199.4
TKT-0109,phone,111.1
TKT-0125,phone,120.1
TKT-1031,chat,109.7
TKT-0399,phone,96.7
TKT-0929,chat,64.6
TKT-1789,email,35.4
TKT-1129,chat,79.8
TKT-1647,email,39.0
TKT-1336,email,36.9
TKT-0743,chat,124.6
TKT-1268,email,156.9
TKT-1075,chat,91.1
TKT-0409,phone,64.0
TKT-0856,chat,121.9
TKT-0505,phone,54.7
TKT-1026,chat,61.5
TKT-1636,email,58.3
TKT-0172,phone,115.2
TKT-0477,phone,122.5
TKT-1723,email,178.9
TKT-0138,phone,58.7
TKT-0789,chat,75.9
TKT-1761,email,103.6
TKT-0898,chat,92.0
TKT-0462,phone,104.8
TKT-0964,chat,76.8
TKT-0546,phone,75.5
TKT-1007,chat,127.0
TKT-0218,phone,92.9
TKT-1522,email,111.5
TKT-1784,email,176.9
TKT-0194,phone,103.9
TKT-0960,chat,203.5
TKT-0797,chat,85.2
TKT-1164,chat,66.0
TKT-1349,email,40.7
TKT-0431,phone,76.5
TKT-0115,phone,98.0
TKT-0820,chat,111.9
TKT-1043,chat,72.5
TKT-1370,email,63.9
TKT-1233,email,95.1
TKT-1550,email,188.0
TKT-0756,chat,95.5
TKT-0891,chat,122.6
TKT-1123,chat,136.0
TKT-0936,chat,81.2
TKT-0082,phone,110.5
TKT-1104,chat,104.0
TKT-1665,email,53.7
TKT-0880,chat,82.7
TKT-1614,email,119.1
TKT-0657,chat,45.0
TKT-1595,email,55.9
TKT-1736,email,38.5
